,Unnamed: 0,id,start,end,length,quantity_limit,tonnage_limit,max_train_tonnage,optimized trains (task2),tonnage_for_train,optimized trains
126,126.0,126.0,59.0,38.0,15.58,100.0,1620606.0,32412.12,50.0,32412,100.0
127,127.0,127.0,59.0,49.0,51.474,81.0,1975181.0,48769.9012345679,40.0,48769,80.0
128,128.0,128.0,38.0,52.0,41.128,58.0,128233.0,4421.827586206897,29.0,4421,58.0
129,129.0,129.0,38.0,13.0,67.957,96.0,325117.0,6773.270833333333,40.0,6773,81.0
130,130.0,130.0,49.0,29.0,82.509,29.0,439265.0,30294.13793103448,7.0,30294,15.0
131,131.0,131.0,13.0,18.0,22.791,78.0,245986.0,6307.333333333333,39.0,6307,78.0
132,132.0,132.0,13.0,65.0,49.971,54.0,63514.0,2352.3703703703704,27.0,2352,54.0
133,133.0,133.0,29.0,85.0,132.182,114.0,687522.0,12061.78947368421,57.0,12061,114.0
134,134.0,134.0,16.0,85.0,72.788,79.0,1379462.0,34923.08860759494,40.0,34486.55,79.0
135,135.0,135.0,85.0,25.0,33.83,46.0,485268.0,21098.60869565217,23.0,21098,46.0
136,136.0,136.0,25.0,21.0,50.006,44.0,357627.0,16255.772727272728,22.0,16255,44.0
137,137.0,137.0,40.0,78.0,114.682,127.0,883705.0,13916.614173228349,63.0,13916,127.0
138,138.0,138.0,78.0,6.0,81.413,67.0,26368.0,787.1044776119403,34.0,775.5294117647059,67.0
139,139.0,139.0,60.0,78.0,212.383,205.0,1578121.0,15396.30243902439,102.0,15396,205.0
140,140.0,140.0,78.0,71.0,206.05,151.0,1608433.0,21303.748344370862,71.0,21303,142.0
141,141.0,141.0,88.0,40.0,23.006,186.0,3221433.0,34639.06451612903,93.0,34639,186.0
142,142.0,142.0,40.0,31.0,138.758,199.0,839657.0,8438.763819095477,83.0,8438,167.0
143,143.0,143.0,26.0,70.0,65.666,78.0,146047.0,3744.794871794872,39.0,3744,78.0
144,144.0,144.0,71.0,70.0,2.34,13.0,408557.0,62854.92307692308,6.0,62854,13.0
145,145.0,145.0,60.0,89.0,115.454,191.0,3221433.0,33732.28272251309,96.0,33556.59375,191.0
146,146.0,146.0,42.0,60.0,28.171,23.0,646706.0,56235.30434782609,12.0,53892.166666666664,23.0
147,147.0,147.0,23.0,88.0,53.347,77.0,1098523.0,28533.064935064936,38.0,28533,77.0
148,148.0,148.0,42.0,88.0,81.479,151.0,1284829.0,17017.60264900662,68.0,17017,137.0
149,149.0,149.0,3.0,89.0,28.355,28.0,652211.0,46586.5,10.0,46586,21.0
150,150.0,150.0,89.0,39.0,34.086,25.0,3054836.0,244386.88,12.0,244386,25.0
151,151.0,151.0,76.0,39.0,15.103,25.0,131964.0,10557.12,12.0,10557,25.0
152,152.0,152.0,39.0,19.0,40.427,31.0,3092719.0,199530.2580645161,15.0,199530,30.0
153,153.0,153.0,24.0,42.0,22.197,54.0,2452980.0,90851.11111111112,27.0,90851,54.0
154,154.0,154.0,41.0,23.0,62.0,102.0,1105619.0,21678.803921568626,51.0,21678,102.0
155,155.0,155.0,41.0,12.0,98.223,201.0,1102459.0,10969.74129353234,98.0,10969,198.0
156,156.0,156.0,80.0,41.0,40.778,61.0,1031545.0,33821.147540983606,30.0,33821,61.0
